Female,Male,Cultivar
Pioneer P93M61,RJS34001,P33T89R
Unspecified,Unspecified,P34T23R
AG2931,AK3210T2-T0BAH,P35T27X
Pioneer P93Y70,Pioneer P93Y02,P35T58R
Unspecified,Unspecified,P35T75X
CBL3705N1R,CP3408A4-D0YN,P36T14R2
Unspecified,Unspecified,P36T36X
Pioneer P93Y92,Pioneer P93Y82,P36T86R
Unspecified,Unspecified,P37T32X
Unspecified,Unspecified,P37T51PR
BL3610B5-D0AAC,AG3803-T0BAH,P37T92X
AG3804 (4),A3525-A3244-BAH,P38T20X
Unspecified,Unspecified,P38T42R
AG3631,AG3803-T0BAH,P39T03X
Unspecified,Unspecified,P39T28X
Pioneer P93M61,Pioneer P94Y01,P39T67R
Unspecified,Unspecified,P39T95X
Unspecified,Unspecified,P4
AG4531,(GL4808A5-C0RN  (2)*A3525-A3244-BAH),P40T26X
Pioneer P93Y82,XR33W10,P40T55PR
Unspecified,Unspecified,P40T84X
Pioneer P93Y92,Pioneer P94Y70,P41T33R
Pioneer P93Y70,Pioneer P94Y60,P44T63R
XB48W07,RJS39003,P44T82SR
Pioneer P94Y22,Pioneer P93Y92,P45T48R
Unspecified,Unspecified,P45T74X
Pioneer P94Y22,Pioneer P93Y92,P46T01R
Pioneer P94Y10,Pioneer P94Y70,P46T21R
BL3510A9-D0AAC,AG4907-T0BAH,P46T30X
Pioneer P94Y70,Pioneer P95Y20,P46T59R
Unspecified,Unspecified,P47T06X
Pioneer P93Y70,Pioneer P94Y70,P47T36R
EI4610A5-D0AAC,(EI4409C3-D0YN (2)*A3525-A3244-BAH),P47T44X
Unspecified,Unspecified,P48T27X
ME6400079,Pioneer P94Y70,P48T53R
Pioneer P94Y61,BC45036488,P49T09BR
RJS39003,Pioneer P94Y90,P49T24SR
Pioneer P93Y70,Pioneer P94Y70,P49T80R
Pioneer P94Y60,Pioneer P94Y70,P49T97R
Pioneer P95Y10,BC45036483,P50T15BR
Pioneer P94Y60,Pioneer P94Y70,P50T40R
Unspecified,Unspecified,P50T56X
Pioneer P94Y60,Pioneer P94Y70,P50T64R
Unspecified,Unspecified,P50T92X
J02-11943 (3),A3525-A3244-BAH,P53T18X
Pioneer P95Y40,Pioneer P95Y20,P54T94R
Pioneer P93B86,G00167G017,P55T57R
Unspecified,Unspecified,P55T81R
RJS57003,Pioneer P95M50,P56T12SR
DGL5406B0R,(Asgrow A5427*(DKB54-52*Asgrow 3244RR2)),P56T29R2
Unspecified,Unspecified,P60T95X
NC6707A1-A0RN-T0BAH,NC7210A9-C0AAC,P73T38X
Pioneer P93B86,XB7C02,PE3031531
ZB31M02,Pioneer P93B15,PE4006780
ZB27U04,XB27P04,PE8015767
ND93-5849,Pioneer P9004,Pembina
Unspecified,Unspecified,Peterson 56-23
Verde,Kanrich,Peterson Jade
LN78-257,Asgrow A3127,Piatt
Wells,Wilkin,Pioneer P1082
Wells,((Disoy*Magna)*Provar),Pioneer P1282
Beeson,Williams,Pioneer P1981
Swift,Calland,Pioneer P2180
Corsoy,Beeson,Pioneer P2480
Corsoy,(Corsoy*Hark),Pioneer P2877
Hark,(Corsoy*Calland),Pioneer P2981
Williams,Woodworth,Pioneer P3081
Williams,Woodworth,Pioneer P3481
Williams,Woodworth,Pioneer P3580
Williams,Cutler 71,Pioneer P3981
Williams,Woodworth,Pioneer P4280
Mitchell,Cutler 71,Pioneer P4880
Dare,Forrest,Pioneer P5482
Corsoy,Magna*Provar,Pioneer P61-22
Unspecified,Unspecified,Pioneer P6782
Amsoy,Beeson,Pioneer P83-14
Pioneer P9061,Ridge,Pioneer P9007
Pioneer P9061,Maple Isle,Pioneer P9008
XB01C03,Pioneer P90M60,Pioneer P900Y61
XB01C03,XB06B02,Pioneer P900Y71
XB01C03,Pioneer P90M60,Pioneer P900Y81
Pioneer P9061,Pioneer P1082,Pioneer P9041
Pioneer P9061,CX096,Pioneer P9042
Wells,Pioneer P1677,Pioneer P9061
Pioneer P9061,Pioneer P9181,Pioneer P9062
Pioneer P9061,Pioneer P9181,Pioneer P9071
Peterson 85,Pioneer P1677,Pioneer P9091
Pioneer P9061,Syngenta S15-50,Pioneer P9092
Unspecified,Unspecified,Pioneer P90A05
(J009*(Pioneer P9091*Asgrow A2234)),(((McCall*Maple Isle)*Pioneer P9042)*Pioneer 90B31),Pioneer P90A06
Pioneer P9091,Pioneer P9008,Pioneer P90A07
Pioneer P9007,(Pioneer P9172*(ST2250*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P90B11
Asgrow A1929,Pioneer P9061,Pioneer P90B21
Pioneer P9007,(Pioneer P9172*(ST2250*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P90B31
Pioneer P9071,Pioneer P9041,Pioneer P90B43
Pioneer P90B43,(Pioneer P9132*(Pioneer 9172*(ST2250*G40-3P9392))),Pioneer P90B51
Pioneer P9042,(Pioneer P9172*(ST2250*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P90B72
OACBayfield (2),(Asgrow A2506*(Pioneer P9321*(Pioneer 9341 (2)*MON40-3-2))),Pioneer P90B73
Pioneer P90B74,(Pioneer P9132*(Pioneer 9172*(ST2250*G40-3P9392))),Pioneer P90B74
Pioneer P9132,(Pioneer P9244*(ST2250*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P90B93
((McCall*Maple Isle)*Pioneer P9042),Pioneer P91B52,Pioneer P90M01
(J009*(Pioneer P9091*Asgrow A2234)) (2),Pioneer P91B12,Pioneer P90M02
Pioneer P90B43,(Pioneer P9172*(ST2250*G40-3P9392)),Pioneer P90M20
Syngenta S08-80,((Pioneer P9061*Syngenta S19-90)*(Syngenta S00-66*(Syngenta S19-90*(Pioneer 9281*G40-3P9273)))),Pioneer P90M40
Pioneer P90B43,(RCAT 9404*(Pioneer P9281 (2)*G40-3P9273)),Pioneer P90M60
Pioneer P9151,Pioneer P92B05,Pioneer P90M61
Pioneer P92B12,(Pioneer P90A07*(Pioneer 90B43*(Pioneer 9007*(Pioneer 9172*(ST2250*G40-3P9392))))),Pioneer P90M80
Pioneer P90B43,(Pioneer P9151*(Pioneer 9204*(Pioneer 9342*G40-3P9341))),Pioneer P90M90
((Pioneer P9061*Asgrow A1937)*(Pioneer 9293*Pella 86)),Pioneer P90B93,Pioneer P90M91
Syngenta S10-F2,(Pioneer P93B82*((Pioneer 9273*((CM304BR*Asgrow A3127)*(Asgrow 3733*Resnik))))*(ST2250*(Pioneer 9342*G40-3P9341))),Pioneer P90M92
12380-32,(00CY622138*Dairyland DSR199RRSTS),Pioneer P90M93
YB01D05,YB08K04,Pioneer P90Y01
YB009A99,Pioneer P91B03,Pioneer P90Y20
YB01D05,Pioneer P90M01,Pioneer P90Y21
Pioneer P91M10,Pioneer P90M20,Pioneer P90Y30
Pioneer P90B43,D00782,Pioneer P90Y40
Pioneer P91B42,Pioneer P91B33,Pioneer P90Y41
R00448R003,Pioneer P91B03,Pioneer P90Y42
R00448R003,XB02E02,Pioneer P90Y50
YB08N05,Pioneer P90M60,Pioneer P90Y51
ZB10J03,Pioneer P90M60,Pioneer P90Y70
XB02F04,Pioneer P90M60,Pioneer P90Y71
R00448R003,K12620,Pioneer P90Y80
Pioneer P92M75,Pioneer P90M60,Pioneer P90Y81
Pioneer P92M22,Pioneer P90M60,Pioneer P90Y90
Pioneer P1981,Pioneer P2981,Pioneer P9111
Asgrow A1937,Asgrow A3127,Pioneer P9121
Unspecified,Unspecified,Pioneer P9131
Syngenta S15-50,Pioneer P9272,Pioneer P9132
Pioneer P9061,Pioneer P9181,Pioneer P9141
Elgin 87,Pioneer P9162,Pioneer P9151
(Syngenta S14-92*Hodgson 78),Asgrow A3127,Pioneer P9161
Pioneer P2981,Asgrow A1937,Pioneer P9162
Pioneer P9202,Syngenta S15-50,Pioneer P9163
Pioneer P9271,Asgrow A3127,Pioneer P9171
Pioneer P9171 (2),(Pioneer P9241*(Pioneer 9271*(MO30421*(PRX325260*PRX107132)))),Pioneer P9172
Beeson 80,Pioneer P2981,Pioneer P9181  &nbsp; &nbsp;
Pioneer P9273,Bell,Pioneer P9182
HP 2530,Pioneer P3981,Pioneer P9191
Asgrow A2234,Pioneer P9061,Pioneer P91B01
Pioneer P9132,(Pioneer P9244*(ST2250*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P91B02
Pioneer P9151,(MO92117-18*(Pioneer P9342*G40-3P9341)),Pioneer P91B03
ST1570,(Asgrow A1900*(Pioneer P9304*(Pioneer 9412*(Asgrow 4715*(Pioneer 9392 (2)*MON40-3-2))))),Pioneer P91B12
Asgrow A1900,(ST2250 (2)*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P91B33
Pioneer P9182,(Archer*Pioneer P9273),Pioneer P91B42
Pioneer P9151,(Pioneer P9244*(ST2250*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P91B52
ST0380,ST3790,Pioneer P91B53
Pioneer P9132,(Asgrow A1900*(Pioneer P9304*(Pioneer 9412*(Asgrow 4715*(Pioneer 9392 (2)*MON40-3-2))))),Pioneer P91B64
Pioneer P9172,(ST2250*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P91B91
ST2250,Asgrow A1900,Pioneer P91B92
Syngenta S20-F8,Pioneer P91B33,Pioneer P91M01
(Pioneer P9161*Pioneer 9111),Pioneer P92B52,Pioneer P91M10
Pioneer P91B01,(((((Amsoy*Beeson)*Williams)*Asgrow A1937)*Asgrow 1929)*Pioneer P93B51),Pioneer P91M11
Pioneer P9234,Pioneer P90B93,Pioneer P91M12
Pioneer P9151,Pioneer P92B05,Pioneer P91M13
XB16H,Pioneer P91B52,Pioneer P91M30
Pioneer P90B43,(((((Amsoy*Beeson)*Williams)*Asgrow A1937)*Asgrow 1929)*Pioneer P93B51),Pioneer P91M40
((Archer*Pioneer P9273)*ST1570),Pioneer P91B33,Pioneer P91M41
Syngenta S18-11,Pioneer P93B01,Pioneer P91M50
Pioneer P9071,(Pioneer P9132*(Pioneer 9172*(ST2250*G40-3P9392))),Pioneer P91M51
Pioneer P9151,Pioneer P91B64,Pioneer P91M60
Pioneer P91B42 (2),Pioneer P93B68,Pioneer P91M61
ST1970 (2),Pioneer P92B05,Pioneer P91M70
(Pioneer P9182*Pioneer 9254),Pioneer P91B03,Pioneer P91M80
Pioneer P9234,Pioneer P92B05,Pioneer P91M90
Pioneer P92B12,Pioneer P92B05,Pioneer P91M91
(76599*1CH244B),Dairyland DSR221RR,Pioneer P91M92
YB08K04,Pioneer P90M60,Pioneer P91Y01
YB20G05,Pioneer P90M60,Pioneer P91Y10
YB15K99,R03171RE,Pioneer P91Y20
Pioneer P91B42,Pioneer P93B09,Pioneer P91Y21
Pioneer P91M10,Pioneer P92B38,Pioneer P91Y22
ZB22F04,Pioneer P90M60,Pioneer P91Y30
YB21F01,Pioneer P91M11,Pioneer P91Y40
XB25P05,Pioneer P91M60,Pioneer P91Y41
EX13Q01,Pioneer P92B38,Pioneer P91Y60
Pioneer P92M22,Pioneer P91M11,Pioneer P91Y61
Pioneer P91B42,Pioneer P92M02,Pioneer P91Y62
Pioneer P91B42,XB19M01,Pioneer P91Y70
EX15N01,K12650,Pioneer P91Y71
Pioneer P91B42,N01525R013,Pioneer P91Y72
XB22G05,Pioneer P92M02,Pioneer P91Y74
Pioneer P91B42,L04549,Pioneer P91Y80
Pioneer P92M22,XB19V06,Pioneer P91Y81
Pioneer P91B53,Pioneer P93B47,Pioneer P91Y90
Pioneer P92B12,L03610,Pioneer P91Y91
ZB06C02,Pioneer P93M80,Pioneer P91Y92
B216,Williams,Pioneer P9201
CM184,Syngenta S13-46,Pioneer P9202
Unspecified,Unspecified,Pioneer P9203
1901C45,((GT1380*Asgrow A3127)*(Century 84*(PRX325260*PRX107132))),Pioneer P9204
Pioneer P1677,Franklin,Pioneer P9221
Unspecified,Unspecified,Pioneer P9231
Pioneer P9181,Pioneer P9271,Pioneer P9232
CM293,ST2250,Pioneer P9233
Pioneer P9221,Pioneer P9162,Pioneer P9234
0624-32,Pioneer P2981,Pioneer P9241 &nbsp;&nbsp;
B216,MONRR,Pioneer P9242
Unspecified,Unspecified,Pioneer P9243
Asgrow A2943,Pioneer P9061,Pioneer P9244
Asgrow A2396,Pioneer P9231,Pioneer P9245
Syngenta S14-92,Asgrow A2575,Pioneer P9251
Pioneer P2981,Asgrow A2943,Pioneer P9252
Unspecified,Unspecified,Pioneer P9253
Pioneer P9341,Pioneer P9273,Pioneer P9254
CM293,ST2250,Pioneer P9255
149-66,Williams,Pioneer P9271
Pioneer P9292,Asgrow A3127,Pioneer P9272
Pioneer P2981,Asgrow A3127,Pioneer P9273
Pioneer P9273 (4),((Pioneer P2981*Asgrow A3127)*(Pioneer 9273 (2)*(Pioneer 2981*(MV2E1*Resnik)))),Pioneer P9281 &nbsp;
Unspecified,Unspecified,Pioneer P9282
149-66,Williams,Pioneer P9292
Pioneer P2981,Asgrow A3127,Pioneer P9293
Pioneer P9281 (2),Pioneer P9273 (2)*Asgrow A5403),Pioneer P9294
Pioneer P9172,(ST2250*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P92B01
Pioneer P9172,(ST2250*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P92B05
Pioneer P9221,(Pioneer P9162*Pioneer 9234),Pioneer P92B12
Asgrow A2012,(Pioneer P9204*(Pioneer 9204*(Pioneer 9342*G40-3P9341))),Pioneer P92B13
Syngenta S18-11,Pioneer P93B01,Pioneer P92B14
9196-074,(Pioneer P9342*(Pioneer 9341 (2)*MON40-3-2)),Pioneer P92B21
Unspecified,Unspecified,Pioneer P92B22
Unspecified,Unspecified,Pioneer P92B23
MO01718,(MO12557*(Stine 2250*(Pioneer P9392 (2)*MON40-3-2))),Pioneer P92B24
Dairyland DSR120,(Dairyland DSR304 (2)*W20),Pioneer P92B25
CX340c,Asgrow A2396,Pioneer P92B35
ST2250 (2),(Pioneer P9392 (2)*MON40-3-2),Pioneer P92B36
Asgrow A3431,Pioneer P9092,Pioneer P92B37
Pioneer P92B52,(ST2550*(Asgrow A1900*(Pioneer P9304*(Pioneer 9412*(Asgrow 4715*(Pioneer 9392 (2)*MON40-3-2)))))),Pioneer P92B38
XB22D,(ST2621*(MO01718*(Asgrow A1900*21710))),Pioneer P92B47
Pioneer P9204 (2),(Pioneer P9342*(Pioneer 9341 (2)*MON40-3-2)),Pioneer P92B51
MO304-21,Conrad,Pioneer P92B52
MO01718 (2),(Asgrow A1900*(Asgrow 3237 (3)*(Pioneer P9362*(Pioneer 9392 (2)*MON40-3-2)))),Pioneer P92B56
Pioneer P9241,(Rps1k BC4 of Pionner 9273),Pioneer P92B61
Syngenta S29-11,(MO12557*(Asgrow A4715*(Pioneer P9392 (2)*MON40-3-2))),Pioneer P92B62
ST2660,Pioneer P9321,Pioneer P92B63
(Pioneer P9273*((MO304*Asgrow A3127)*(Asgrow 3733*Resnik))),(ST2250*(Pioneer P9342*(Pioneer 9341 (2)*MON40-3-2))),Pioneer P92B71
Kenwood,(AX5152*Kenwood),Pioneer P92B72
MO12557,(ST2250*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P92B74
Pioneer P9281,(Asgrow A3227 (2)*(Pioneer P9362*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P92B75
Pioneer P9352,AX5753J10,Pioneer P92B76
Pioneer P9306,(MO01718*(Pioneer P9281 (2)*(Pioneer 9273 (2)*(Asgrow A5403*MON40-3-2)))),Pioneer P92B84
Jack,Pioneer P9061,Pioneer P92B91
Pioneer P92B91,(S2911*(MO92117-18*(Pioneer P9342*(Pioneer 9341 (2)*MON40-3-2)))),Pioneer P92B95
(Pioneer P9281 (2)*G40-3P9273),(Pioneer P9273*Asgrow A2234),Pioneer P92M00
Pioneer P92B63 (2),(Pioneer P9362 (2)*G40-3P9392),Pioneer P92M01
ST1970,(Asgrow A1900*(MO92117-18*(Pioneer P9342*G40-3P9341))),Pioneer P92M02
(Pioneer P9151*ST2250),(ST1570*(Asgrow A1900*(Pioneer P9304*(Pioneer 9412*(Asgrow 4715*G40-3P9392))))),Pioneer P92M03
Pioneer P9163,CX232,Pioneer P92M10
(Pioneer P92B12 (2),Pioneer P92B36,Pioneer P92M11
(Pioneer P92B12 (2),Pioneer P92B38,Pioneer P92M21
Syngenta S18-11,Pioneer P93B01,Pioneer P92M30
Pioneer P93B41,((Pioneer P9273*Asgrow A2234)*(Pioneer 9252*(Pioneer 9342*G40-3P9392))),Pioneer P92M31
Pioneer P9362*MO21584,Pioneer P92B38,Pioneer P92M33
(AP1953*(((Asgrow A3205*(Asgrow 3127*Fayette))*G2436A))),Dairyland DSR221RR,Pioneer P92M34
(Pioneer P9362*(ST2950*CM176)),Pioneer P92B74,Pioneer P92M40
Pioneer P92B76,Pioneer P93B84,Pioneer P92M41
Asgrow A1900,Pioneer P9363,Pioneer P92M50
(ST2250*(Pioneer P9392*Pioneer 9321)),(Pioneer P93B82*(Pioneer 9273*((MO304BR*Asgrow A3127)*(Asgrow 3733*Resnik))*(ST2250*(Pioneer 9342*G40-3P9341))),Pioneer P92M51
Pioneer P92B12,Pioneer P93B09,Pioneer P92M52
Pioneer P92B12,Pioneer P93B09,Pioneer P92M53
(Pioneer P9362*MO21584),Pioneer P92B74,Pioneer P92M54
Pioneer P9363,Pioneer P92B61,Pioneer P92M61
Pioneer P9363,Pioneer P92B61,Pioneer P92M70
Pioneer P93B82,Pioneer P93B34,Pioneer P92M71
ST2621,Pioneer P93B82,Pioneer P92M72
Pioneer P92B76,Pioneer P93B01,Pioneer P92M73
Pioneer P93B66,Pioneer P93B09,Pioneer P92M74
Pioneer P92B12,Pioneer P93B09,Pioneer P92M75
Pioneer P93B09,Pioneer P92B62,Pioneer P92M76
Pioneer P93B82,(ST3630*Pioneer P9314),Pioneer P92M80
Pioneer P93B15,Pioneer P92M80,Pioneer P92M81
Pioneer P92B76,Pioneer P93B36,Pioneer P92M82
Pioneer P9306,Pioneer P92B74,Pioneer P92M91
Pioneer P92B63 (2),(Pioneer P9362 (2)*G40-3P9392),Pioneer P92M92
YB36V00,Pioneer P92B36,Pioneer P92Y10
Pioneer P92M72,Pioneer P91M91,Pioneer P92Y11
Pioneer P92M72,Pioneer P92M51,Pioneer P92Y12
Pioneer P92B12,L03610,Pioneer P92Y20
Pioneer P93B86,XB23Y02,Pioneer P92Y21
Pioneer P92M54,Pioneer P92Y30,Pioneer P92Y22
Pioneer P92M70,Pioneer P92M91,Pioneer P92Y30
NKX022,D08006,Pioneer P92Y31
ZB28S05,Pioneer P93M13,Pioneer P92Y32
Pioneer P92M20,Pioneer P93M42,Pioneer P92Y50
Pioneer P92M40,Pioneer P93M11,Pioneer P92Y51
ZB25F02,YB37F02,Pioneer P92Y52
Pioneer P92M91,Pioneer P91M91,Pioneer P92Y53
Pioneer P93M13,SP11513488,Pioneer P92Y54
Pioneer P92M91,Pioneer P92M40,Pioneer P92Y55
Pioneer P92M72,Pioneer P92M40,Pioneer P92Y60
Pioneer P93M13,SP11513488,Pioneer P92Y61
Pioneer P93M61,YB26Y06,Pioneer P92Y62
Pioneer P93B86,L04177,Pioneer P92Y70
IA2064,Pioneer P92M70,Pioneer P92Y71
Pioneer P93M50,Pioneer P93M11,Pioneer P92Y72
Pioneer P93M52,PE8015767,Pioneer P92Y73
Pioneer P92M70,Pioneer P93M11,Pioneer P92Y74
YB30A05,XB32C05,Pioneer P92Y75
XB23W03,Pioneer P92M91,Pioneer P92Y80
ZB25F02,Pioneer P93M11,Pioneer P92Y82
XB27B05,Pioneer P93M11,Pioneer P92Y83
IA2064,Pioneer P93B36,Pioneer P92Y90
Pioneer P93M11,NP5851570,Pioneer P92Y91
EX29E04,Pioneer P93M11,Pioneer P92Y92
Asgrow A3127 (2),Pioneer P2981,Pioneer P9301
Williams 79,Pioneer P9292,Pioneer P9302
Pioneer P2981,CM385,Pioneer P9303 &nbsp;&nbsp;
HP 2530,Asgrow A2943,Pioneer P9304
Pioneer P9303,((Asgrow A3733*Resnik)*Asgrow 3733),Pioneer P9305
Pioneer P9273,(Asgrow A3733*((Asgrow 3733*Resnik)*Asgrow 3733)),Pioneer P9306
Asgrow A1937,Asgrow A3127,Pioneer P9311
Asgrow A3307,Pioneer P9402,Pioneer P9312
Pioneer P9293,Pella 86,Pioneer P9313
MO304-21,(Weber*Asgrow A3127),Pioneer P9321
Dairyland DSR304,AC5263,Pioneer P9322
W20,Asgrow A3205,Pioneer P9323
(Williams 79*Asgrow A3127),Asgrow A3127,Pioneer P9331
Pioneer P9281 (2),(Pioneer P9273 (2)*Asgrow A5403),Pioneer P9333
CM304,Asgrow A3127,Pioneer P9341
Pioneer P9341,Resnik (2),Pioneer P9342
Unspecified,Unspecified,Pioneer P9343
Pioneer P9281 (2),(Pioneer P9273 (2)*Asgrow A5403),Pioneer P9344
Williams 82,Asgrow A1937,Pioneer P9351
Pioneer P9341,Pioneer P9273,Pioneer P9352
Essex,L69-4143,Pioneer P9361
Asgrow A2943,Asgrow A5474,Pioneer P9362
Unspecified,Unspecified,Pioneer P9363
Unspecified,Unspecified,Pioneer P9364
(Essex*L69-4143),Sprite,PI 542062
(Williams 79*Asgrow A3127),Asgrow A3127,Pioneer P9391
Asgrow A3127,Gnome,Pioneer P9392
Resnik,Asgrow A3733,Pioneer P9393
Asgrow A3307,Egyptian,Pioneer P9394
Unspecified,Unspecified,Pioneer P9395
Pioneer P9381 (2),(Pioneer P9392 (2)*Asgrow A5403),Pioneer P9396
Pioneer P9281 (2),(Pioneer P9273 (2)*Asgrow A5403),Pioneer P93B01
Pioneer P9362 (2),(Pioneer P9392 (2)*MON40-3-2),Pioneer P93B07
Pioneer P93B82,(ST2660*(Pioneer P9281 (2)*G40-3P9273)),Pioneer P93B09
Asgrow A3415,(Pioneer P9271*(3105*(Corsoy*Magna))),Pioneer P93B11
Unspecified,Unspecified,Pioneer P93B15
Pioneer P9244,(ST2250*(Pioneer P9392 (2)*MON40-3-2)),Pioneer P93B25
Pioneer P92B91,(S2911*(MO92117-18*(Pioneer P9342*(Pioneer 9341 (2)*MON40-3-2)))),Pioneer P93B26
Pioneer P9281 (2),(Pioneer P9273 (2)*MON40-3-2),Pioneer P93B34
Pioneer P9281,(Asgrow A3227 (2)*(Pioneer P9362*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P93B35
Pioneer P93B82,(Pioneer P9281 (2)*G40-3P9273),Pioneer P93B36
Pioneer P9273 (2),(Asgrow A3733 (2)*(Resnik*Asgrow 3733)),Pioneer P93B41
Pioneer P9342,ST3230,Pioneer P93B45
MO16727,(Mike Brayton Exp 59372*Mike Brayton Exp W20),Pioneer P93B46
Pioneer P9352,(Pioneer P9362*(Pioneer 9342*(Pioneer 9341*MON40-3-2))),Pioneer P93B47
MO2660,(Pioneer P9444*(Pioneer 9341 (2)*MON40-3-2)),Pioneer P93B51
Unspecified,Unspecified,Pioneer P93B52
Pioneer P9281 (2),(Pioneer P9273 (2)*MON40-3-2),Pioneer P93B53
Dairyland DSR373 (2),W20,Pioneer P93B54
Pioneer P9362,Pioneer P9381,Pioneer P93B65
Pioneer P9362,ST3630,Pioneer P93B66
Pioneer P93B65 (3),(Pioneer P9204*(Pioneer 9281*MON40-3-2)),Pioneer P93B67
Pioneer P93B82,(Pioneer P9343 (2)*(Asgrow A2506*90679)),Pioneer P93B68
Unspecified,Unspecified,Pioneer P93B71
Pioneer P93B82,(W30132-004*(ST2250*(Pioneer P9342*(Pioneer 934 (2)*MON40-3-2)))),Pioneer P93B72
W20,(Asgrow A3935*Pioneer P9392),Pioneer P93B81
Pioneer P9273,((MO304*Asgrow A3127)*(Asgrow 3733*Resnik)),Pioneer P93B82
Unspecified,Unspecified,Pioneer P93B83
Pioneer P9281,(Asgrow A3227 (2)*(Pioneer P9362*(Pioneer 9392 (2)*MON40-3-2))),Pioneer P93B84
Pioneer P9352,(Pioneer P92B91*(Asgrow A4715*(Pioneer 9362*(Pioneer 9392 (2)*MON40-3-2)))),Pioneer P93B85
Pioneer P9362,Pioneer P93B82,Pioneer P93B86
Pioneer P9273,((MO304*Asgrow A3127)*(Asgrow 3733*Resnik)),Pioneer P93B87
(Pioneer P9322*(ST2250 (2)*G40-3P9392)),Pioneer P93B01,Pioneer P93M01
Asgrow A4138,(ST2660*(Asgrow A3237 (3)*(Pioneer P9362*G40-3P9392))),Pioneer P93M10
Pioneer P9306,Pioneer P92B74,Pioneer P93M11
Pioneer P93B65,(ST2660*(Asgrow A3237 (3)*(Pioneer P9362*G40-3P9392))),Pioneer P93M12
Pioneer P93B86,Pioneer P93B09,Pioneer P93M13
Pioneer P93B66 (2),ST3660,Pioneer P93M14
ST2870,(S2911*(MO92117-18*(Pioneer P9342*G40-3P9341))),Pioneer P93M30
ST3630,(Pioneer P9273*((MO304BR*Asgrow A3127)*(Asgrow 3733*Resnik))),Pioneer P93M40
(Asgrow A2835*MO15733) (2),Pioneer P9363,Pioneer P93M41
Unspecified,Unspecified,Pioneer P93M42
Pioneer P93B87,Pioneer P93B47,Pioneer P93M43
Pioneer P93B86 (2),Pioneer P93B67,Pioneer P93M50
Pioneer P93B86,(Pioneer P93B82*(ST3660*(Asgrow A2396 (2)*(Pioneer 9381 (2)*G40-3P9392)))),Pioneer P93M51
ST3171,Pioneer P93B66,Pioneer P93M52
Pioneer P93B82,(Asgrow A3431*Pioneer P94B01),Pioneer P93M60
Pioneer P93B86,(Pioneer P93B82*(ST3630*Pioneer 9314)),Pioneer P93M61
Pioneer P93B15,Pioneer P93B82,Pioneer P93M62
Pioneer P93B87,(Pioneer P92B61*(Pioneer 9172 (2)*(MO12557*(Asgrow A4715*G40-3P9292)))),Pioneer P93M70
Pioneer P93B82,(Asgrow A3431*Pioneer P94B01),Pioneer P93M80
Pioneer P93B87,(Pioneer P9352 (2)*(Pioneer 9362 (2)*(Pioneer 9342*G40-3P931))),Pioneer P93M81
Pioneer P93B86,(Pioneer P93B82*(ST3870*(Asgrow A1900*(MO0708*(Pioneer 9342*G40-3P9341))))),Pioneer P93M82
ST3171,Pioneer P94B01,Pioneer P93M90
Pioneer P9421,(Pioneer P9362 (3)*G40-3P9392),Pioneer P93M91
Pioneer P93B82,Pioneer P92B74,Pioneer P93M92
Asgrow A3431,Pioneer P94B01,Pioneer P93M93
Pioneer P94B24 (2),(Pioneer P9362 (3)*G40-3P9392),Pioneer P93M94
Pioneer P93B87,Pioneer P93B67,Pioneer P93M95
(Pioneer P9362*MO15733),Pioneer P93B71,Pioneer P93M96
IA3019,Pioneer P92B38,Pioneer P93Y01
Pioneer P93M50,Pioneer P92M91,Pioneer P93Y02
Pioneer P93B86,SP3449336,Pioneer P93Y03
XB31R04,Pioneer P92M75,Pioneer P93Y04
Pioneer P92B12,Pioneer P93M51,Pioneer P93Y05
Pioneer P92M91,Pioneer P93M11,Pioneer P93Y10
Pioneer P93B86,Pioneer P93B68,Pioneer P93Y11
Pioneer P92M72,Pioneer P93B68,Pioneer P93Y12
ZB36A02,Pioneer P93M11,Pioneer P93Y13
Pioneer P93M10,IA3017,Pioneer P93Y14
YB38Q05,XB32C05,Pioneer P93Y15
ZB25F02,Pioneer P93M92,Pioneer P93Y16
Pioneer P93B86,Pioneer P92M91,Pioneer P93Y20
EX32S02,Pioneer P93B86,Pioneer P93Y21
ZB28S05,Pioneer P93M11,Pioneer P93Y22
YB30K06,SP11513497,Pioneer P93Y23
Pioneer P93B42,DP7748344,Pioneer P93Y24
Pioneer P92M53,Pioneer P93Y11,Pioneer P93Y25
YB30K06,SP11513497,Pioneer P93Y30
Pioneer P93M50,Pioneer P93M10,Pioneer P93Y40
Pioneer P93B86,PE4006780,Pioneer P93Y41
Pioneer P93Y11,SP16410155,Pioneer P93Y42
